feature,input_dim,threshold,temperature,precision,recall,f1,macro_f1,pr_auc,roc_auc,brier,ece,model_dir
hybrid,420,0.58,1.553836585674384,0.9664429530201343,0.96,0.9632107023411371,0.9770258341014595,0.9924831133879191,0.9978666666666667,0.01261583304045523,0.006315255903896784,E:\川大上课\模式识别\spam_filter_project-master\spam_filter_project-master\mindspore_spam_filter\outputs\hybrid
word_svd,200,0.84,1.4479997100123487,0.9577464788732394,0.9066666666666666,0.9315068493150684,0.95747527896217,0.984356108350638,0.9959388888888889,0.023639071940843553,0.010422811708182066,E:\川大上课\模式识别\spam_filter_project-master\spam_filter_project-master\mindspore_spam_filter\outputs\word_svd
char_svd,200,0.82,1.36305041652848,0.9383561643835616,0.9133333333333333,0.9256756756756757,0.9537016252132531,0.9865354579494172,0.9965555555555555,0.020577633384328615,0.008061021056253254,E:\川大上课\模式识别\spam_filter_project-master\spam_filter_project-master\mindspore_spam_filter\outputs\char_svd
structured,20,0.92,0.6889555832027479,0.8947368421052632,0.5666666666666667,0.6938775510204082,0.8170582974225546,0.8310895401170499,0.9228333333333332,0.09910681491868288,0.025235562325210143,E:\川大上课\模式识别\spam_filter_project-master\spam_filter_project-master\mindspore_spam_filter\outputs\structured
