model,precision,recall,f1,macro_f1,pr_auc,roc_auc,brier,ece
multinomial_nb,0.9911504424778761,0.7466666666666667,0.8517110266159695,0.9100915682796905,0.9869423438326449,0.9965555555555555,0.03822128274209284,0.05326729676712652
logistic_regression,0.8963414634146342,0.98,0.9363057324840764,0.9597211630379909,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
linear_svm,0.9225806451612903,0.9533333333333334,0.9377049180327869,0.9609026682214143,0.9865506457013293,0.997,0.016349500726713356,0.011679021567129539
