strategy,model,threshold,precision,recall,f1,macro_f1,pr_auc,roc_auc,brier,ece
none,logistic_regression,0.5,0.9661016949152542,0.76,0.8507462686567164,0.9091393680945921,0.9745872059956395,0.9944222222222222,0.04665886751459871,0.12059574052566632
none,linear_svm,0.5,0.9225806451612903,0.9533333333333334,0.9377049180327869,0.9609026682214143,0.9868504593589216,0.9969777777777777,0.01668049167060722,0.012828770128320675
class_weight,logistic_regression,0.5,0.8963414634146342,0.98,0.9363057324840764,0.9597211630379909,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
class_weight,linear_svm,0.5,0.9225806451612903,0.9533333333333334,0.9377049180327869,0.9609026682214143,0.9865506457013293,0.997,0.016349503411938814,0.011679025343514882
threshold_adjust,logistic_regression,0.7,0.9523809523809523,0.8,0.8695652173913043,0.920076726342711,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
threshold_adjust,linear_svm,0.66,0.9523809523809523,0.9333333333333333,0.9427609427609428,0.9643148022200392,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
cost_sensitive,logistic_regression,0.5,0.8963414634146342,0.98,0.9363057324840764,0.9597211630379909,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
cost_sensitive,linear_svm,0.5,0.9225806451612903,0.9533333333333334,0.9377049180327869,0.9609026682214143,0.9865506457013293,0.997,0.0163495070310488,0.011679033345924145
