train_loss,valid_loss
1.0967319054262978,1.0808589458465576
1.0538287098918642,1.0092970132827759
0.9499461608273643,0.8717003464698792
0.7910111589091164,0.7040619254112244
0.6260144433804921,0.5504450798034668
0.4931857032435281,0.43558093905448914
0.3895086188401495,0.3569382429122925
0.3267124045108046,0.3028450608253479
0.2788413480988571,0.26535502076148987
0.24279143608042172,0.23731932044029236
0.22060964762100152,0.2164185345172882
0.20131865888834,0.2004181146621704
0.18639600862349784,0.18929286301136017
0.18097109799938543,0.1783037930727005
0.16838034934231214,0.17035189270973206
0.1568376539008958,0.16362789273262024
0.1457576003990003,0.1593516767024994
0.14096685525562083,0.15410977602005005
0.13529116553919657,0.14938043057918549
0.1298953127115965,0.14645324647426605
0.12268770911863872,0.14339368045330048
0.12228452706975597,0.14138786494731903
0.11501750855573586,0.13836237788200378
0.11283468854214464,0.13814646005630493
0.11362023598381452,0.13608263432979584
0.10585900928292956,0.13322316110134125
0.1009227673390082,0.13406383991241455
0.10117219867450851,0.1308204084634781
0.09617731134806361,0.13135142624378204
0.0949646056230579,0.1298159956932068
0.09602634661964007,0.1287313997745514
0.0914522051545126,0.12923595309257507
0.0912466196875487,0.12683036923408508
0.08727462509913105,0.12904879450798035
0.09134233609906264,0.12990301847457886
0.08854908243353878,0.1270698606967926
0.08376623982829708,0.12643738090991974
0.0805912631164704,0.1265852451324463
0.08333624566772155,0.1256837695837021
0.08034444620300617,0.128567174077034
0.08005371490227324,0.12809699773788452
0.07853058858641557,0.12667252123355865
0.07628529871414814,0.12699243426322937
0.07465554155143243,0.1276332587003708
0.07612902005868298,0.12869888544082642
0.07275373728147574,0.12642189860343933
0.07343364447089178,0.12767824530601501
0.07221749870638762,0.12933868169784546
0.068557850284768,0.1296267956495285
0.0692109458946756,0.12736240029335022
0.06763412317793284,0.12947261333465576
0.06871266629812973,0.12853647768497467
0.06852432852610946,0.13064242899417877
0.06565041840076447,0.13069702684879303
0.06597059050441853,0.12881749868392944
0.06487041631979602,0.13125859200954437
0.0659244921989739,0.1302281767129898
0.0641333359692778,0.12967266142368317
0.06428851573062795,0.1325218230485916
0.0670601273221629,0.12915582954883575
0.06384917791001499,0.12897303700447083
0.06484334343778235,0.13071173429489136
0.059922511356749704,0.1326017826795578
0.059553905589772124,0.13261163234710693
0.06018765626608261,0.13502028584480286
0.06088571303657123,0.13287168741226196
0.05804021031196628,0.13081544637680054
0.05829021647306425,0.134383887052536
0.05581415118649602,0.13515347242355347
0.05816111035112824,0.13234807550907135
0.05898716433772019,0.13459353148937225
0.056451760531802266,0.13559590280056
0.056831010417746644,0.13574326038360596
0.053207965401400416,0.13917896151542664
0.05487980281135866,0.13382497429847717
0.05281608887682004,0.13767150044441223
0.05489634230200734,0.1390460878610611
0.05213699609573398,0.1398821473121643
0.05469685879402927,0.14250467717647552
0.05327682749235204,0.13945969939231873
0.050281202603530674,0.1410219371318817
0.051371979394129345,0.13993483781814575
0.04989134706556797,0.14480169117450714
0.04925799090415239,0.14298447966575623
0.05012105079367757,0.14379769563674927
0.04903378876458321,0.1419125348329544
0.0492262337689421,0.1406577080488205
0.050127882909561904,0.14549565315246582
0.05034434249890702,0.1415228545665741
0.04747101578063199,0.15064533054828644
0.04755953316842871,0.14838097989559174
0.04705125903378108,0.15000303089618683
0.05018394147711141,0.14698244631290436
0.04649301348919315,0.14708416163921356
0.04620840187583651,0.1507265269756317
0.04586939600163272,0.15326407551765442
0.04534826157448281,0.14248012006282806
0.04546804998868278,0.1535802036523819
0.046433612305138795,0.14954467117786407
0.045969559478440454,0.14959539473056793
