model,calibration_type,brier_before,brier_after,ece_before,ece_after,pr_auc_before,pr_auc_after
logistic_regression,temperature,0.046154517719566586,0.02632746413641184,0.13317119308107553,0.04348117026559548,0.9756849168299214,0.9756849168299214
linear_svm,sigmoid,0.016349500726713356,0.016380608291462647,0.011679021567129492,0.01119477453397764,0.9865506457013293,0.9865506457013293
