threshold,precision,recall,f1,macro_f1,pr_auc,roc_auc,brier,ece
0.05,0.2336448598130841,1.0,0.3787878787878788,0.3419363122752953,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.06,0.24916943521594684,1.0,0.39893617021276595,0.3973290476732279,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.07,0.2608695652173913,1.0,0.41379310344827586,0.43270300333704115,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.08,0.2717391304347826,1.0,0.42735042735042733,0.4617955144270933,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.09,0.2830188679245283,1.0,0.4411764705882353,0.4888809182209469,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.1,0.2958579881656805,1.0,0.45662100456621,0.5165667300411121,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.11,0.30864197530864196,1.0,0.4716981132075472,0.5414046121593292,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.12,0.32608695652173914,1.0,0.4918032786885246,0.5717443359734757,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.13,0.3448275862068966,1.0,0.5128205128205128,0.6006725514922235,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.14,0.36231884057971014,1.0,0.5319148936170213,0.6249318057828697,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.15,0.3787878787878788,1.0,0.5494505494505495,0.6457944571152119,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.16,0.40106951871657753,1.0,0.5725190839694656,0.671505443624077,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.17,0.4166666666666667,1.0,0.5882352941176471,0.6880570409982174,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.18,0.4398826979472141,1.0,0.6109979633401222,0.7108508151685745,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.19,0.45871559633027525,1.0,0.6289308176100629,0.7279551448754127,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.2,0.47619047619047616,1.0,0.6451612903225806,0.7428705002337541,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.21,0.4934210526315789,1.0,0.6607929515418502,0.7567827090405236,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.22,0.5084745762711864,1.0,0.6741573033707865,0.7683582725384739,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.23,0.5244755244755245,1.0,0.6880733944954128,0.7801269228116161,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.24,0.5300353356890459,1.0,0.6928406466512702,0.7840960496611553,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.25,0.5514705882352942,1.0,0.7109004739336493,0.7988639660948396,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
0.26,0.5681818181818182,1.0,0.7246376811594203,0.8098326527344063,0.9756849168299214,0.9946777777777778,0.04615451771956661,0.13317119308107558
