char_len,word_count,sentence_count,exclamation_count,question_count,upper_ratio,digit_ratio,url_count,email_count,html_tag_count,has_html,attachment_hint,unsubscribe_count,money_symbol_count,phone_pattern_count,punctuation_density,spam_keyword_count,promo_keyword_count,too_many_links,repeated_char_flag
2598,417,13,1,6,0.0,0.05350269438029253,0,0,0,0,1,0,38,0,0.05850654349499615,1,8,0,0
2843,483,48,2,1,0.0,0.009145269081955681,0,0,0,0,1,0,0,0,0.06753429475905734,5,4,0,0
1475,257,11,0,0,0.0,0.04677966101694915,0,0,0,0,0,0,8,0,0.02711864406779661,2,3,0,0
1595,286,19,0,0,0.0,0.07398119122257053,0,0,0,0,0,0,24,0,0.05329153605015674,2,6,0,0
498,77,8,0,0,0.0,0.028112449799196786,0,0,0,0,1,0,0,0,0.04618473895582329,0,2,0,0
620,112,9,0,0,0.0,0.07580645161290323,0,0,0,0,1,0,0,0,0.05,1,1,0,0
307,47,10,1,2,0.0,0.06840390879478828,0,0,0,0,0,0,0,0,0.07166123778501629,3,1,0,0
87,14,2,0,0,0.0,0.011494252873563218,0,0,0,0,0,0,0,0,0.08045977011494253,0,0,0,0
885,141,16,0,0,0.0,0.0655367231638418,0,0,0,0,0,0,0,0,0.04067796610169491,0,0,0,0
2003,394,15,0,0,0.0,0.20619071392910635,0,0,0,0,0,0,15,0,0.05491762356465302,0,8,0,0
504,86,5,0,0,0.0,0.023809523809523808,0,0,0,0,0,0,0,0,0.015873015873015872,0,0,0,0
448,66,1,0,0,0.0,0.026785714285714284,0,0,0,0,0,0,5,0,0.033482142857142856,1,1,0,0
2109,345,13,0,0,0.0,0.002370791844476055,0,0,0,0,1,0,0,0,0.018018018018018018,15,13,0,0
1350,212,31,0,8,0.0,0.023703703703703703,0,0,0,0,1,0,0,0,0.06222222222222222,0,0,0,0
6106,998,43,0,5,0.0,0.037667867671143135,0,0,0,0,1,0,9,0,0.049459547985587944,9,9,0,0
176,30,2,0,0,0.046511627906976744,0.06818181818181818,1,0,0,0,0,0,0,1,0.045454545454545456,2,1,0,0
2299,399,34,0,1,0.0,0.03827751196172249,0,0,0,0,0,0,0,0,0.045237059591126574,4,8,0,0
1498,276,10,0,0,0.0,0.0026702269692923898,0,0,0,0,0,0,0,0,0.022696929238985315,2,9,0,0
2795,428,30,2,1,0.0,0.02003577817531306,0,0,0,0,0,0,0,0,0.0332737030411449,2,2,0,0
235,43,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.02553191489361702,0,0,0,0
4480,780,83,0,0,0.0,0.06986607142857143,0,0,0,0,1,0,0,0,0.05758928571428571,2,3,0,0
619,94,4,1,0,0.0,0.04361873990306947,0,0,0,0,0,0,0,0,0.10177705977382875,0,0,0,0
351,57,2,0,0,0.0,0.02564102564102564,0,0,0,0,0,0,0,0,0.07122507122507123,0,1,0,0
317,59,6,0,0,0.0,0.025236593059936908,0,0,0,0,0,0,3,0,0.025236593059936908,0,0,0,0
378,46,1,0,0,0.0,0.06349206349206349,0,0,0,0,1,0,0,0,0.1455026455026455,0,0,0,0
1146,185,10,1,0,0.1896774193548387,0.09162303664921466,0,1,0,0,0,1,8,0,0.02617801047120419,8,7,0,1
1944,315,24,2,1,0.0,0.011831275720164609,0,0,0,0,0,0,0,0,0.027777777777777776,1,4,0,0
281,46,5,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0.021352313167259787,0,0,0,0
654,101,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.024464831804281346,0,2,0,0
364,50,5,0,0,0.0,0.024725274725274724,0,0,0,0,0,0,0,0,0.07692307692307693,0,1,0,0
2502,403,26,1,0,0.0,0.030775379696243006,0,0,0,0,0,0,1,2,0.029576338928856916,4,2,0,0
4355,731,45,0,12,0.0,0.0121699196326062,0,0,0,0,0,0,0,0,0.044316877152698046,2,4,0,0
3426,561,25,1,0,0.0,0.017221249270286048,0,0,0,0,0,0,0,0,0.034442498540572096,0,0,0,0
1487,234,11,0,3,0.0,0.03093476798924008,0,0,0,0,0,0,0,0,0.0605245460659045,0,1,0,0
679,96,20,0,0,0.0,0.06921944035346098,0,0,0,0,0,0,0,0,0.12223858615611193,0,2,0,0
569,102,11,0,0,0.0,0.27768014059753954,0,0,0,0,0,0,0,0,0.0421792618629174,1,3,0,0
2100,379,24,7,2,0.07647814910025708,0.021904761904761906,2,0,0,0,0,2,0,0,0.039047619047619046,11,8,0,1
393,53,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.005089058524173028,0,0,0,0
193,31,3,1,0,0.0,0.05699481865284974,0,0,0,0,0,0,0,0,0.015544041450777202,4,5,0,0
3836,603,25,0,1,0.0,0.005474452554744526,0,0,0,0,0,0,0,0,0.025547445255474453,0,0,0,0
231,39,5,1,2,0.06593406593406594,0.0,1,0,0,0,0,0,0,0,0.030303030303030304,1,0,0,1
1242,185,17,0,2,0.0,0.0499194847020934,0,0,0,0,1,0,0,1,0.0821256038647343,2,1,0,1
1766,280,17,0,1,0.0,0.03227633069082673,0,0,0,0,1,0,7,0,0.04077010192525481,2,2,0,0
115,23,1,0,0,0.0,0.043478260869565216,0,0,0,0,0,0,0,0,0.02608695652173913,0,1,0,0
1645,240,14,4,0,0.0,0.050455927051671734,0,0,0,0,0,0,4,0,0.0121580547112462,8,13,0,0
538,65,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0,0
995,161,6,0,0,0.0,0.02613065326633166,0,0,0,0,0,0,2,0,0.0763819095477387,1,1,0,0
1763,273,11,0,0,0.0,0.009642654566080544,0,0,0,0,0,0,0,0,0.0238230289279637,0,1,0,0
847,126,12,0,1,0.027586206896551724,0.0,2,1,0,0,1,0,0,0,0.16056670602125148,0,0,0,1
30,6,1,0,0,0.0,0.26666666666666666,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0
1167,23,7,0,0,0.04854368932038835,0.009425878320479864,3,0,0,0,0,1,0,0,0.011139674378748929,1,0,1,1
264,42,3,0,0,0.0,0.003787878787878788,0,0,0,0,1,0,0,0,0.015151515151515152,1,2,0,0
1786,260,30,4,15,0.0,0.017357222844344905,0,0,0,0,0,0,0,0,0.04311310190369541,3,4,0,0
379,62,9,0,0,0.0,0.052770448548812667,0,0,0,0,0,0,0,0,0.055408970976253295,0,1,0,0
1808,319,11,0,0,0.0,0.0459070796460177,0,0,0,0,0,1,0,0,0.032079646017699116,0,0,0,0
