threshold,precision,recall,f1,macro_f1,pr_auc,roc_auc,brier,ece
0.05,0.7853403141361257,1.0,0.8797653958944281,0.9221950361698198,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.06,0.8021390374331551,1.0,0.8902077151335311,0.9291967208513743,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.07,0.8108108108108109,1.0,0.8955223880597015,0.9327397348023829,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.08,0.8108108108108109,1.0,0.8955223880597015,0.9327397348023829,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.09,0.819672131147541,1.0,0.9009009009009009,0.9363116329697307,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.1,0.8333333333333334,1.0,0.9090909090909091,0.9417249417249417,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.11,0.8426966292134831,1.0,0.9146341463414634,0.9453716806792641,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.12,0.847457627118644,1.0,0.9174311926605505,0.9472066449236256,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.13,0.8571428571428571,1.0,0.9230769230769231,0.9509001636661212,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.14,0.8620689655172413,1.0,0.9259259259259259,0.9527588813303098,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.15,0.8620689655172413,1.0,0.9259259259259259,0.9527588813303098,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.16,0.8670520231213873,1.0,0.9287925696594427,0.9546256816011742,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.17,0.8670520231213873,1.0,0.9287925696594427,0.9546256816011742,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.18,0.872093023255814,1.0,0.9316770186335404,0.9565006485357854,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.19,0.8875739644970414,1.0,0.9404388714733543,0.9621754052540352,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.2,0.8869047619047619,0.9933333333333333,0.9371069182389937,0.960093222232864,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.21,0.8869047619047619,0.9933333333333333,0.9371069182389937,0.960093222232864,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.22,0.8922155688622755,0.9933333333333333,0.9400630914826499,0.9620011146339708,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.23,0.891566265060241,0.9866666666666667,0.9367088607594937,0.9599084844338008,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.24,0.901840490797546,0.98,0.939297124600639,0.9616451924603868,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.25,0.901840490797546,0.98,0.939297124600639,0.9616451924603868,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.26,0.901840490797546,0.98,0.939297124600639,0.9616451924603868,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.27,0.901840490797546,0.98,0.939297124600639,0.9616451924603868,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.28,0.901840490797546,0.98,0.939297124600639,0.9616451924603868,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.29,0.901840490797546,0.98,0.939297124600639,0.9616451924603868,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.3,0.901840490797546,0.98,0.939297124600639,0.9616451924603868,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.31,0.9012345679012346,0.9733333333333334,0.9358974358974359,0.9595312095312095,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.32,0.9012345679012346,0.9733333333333334,0.9358974358974359,0.9595312095312095,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.33,0.906832298136646,0.9733333333333334,0.9389067524115756,0.9614634687205061,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.34,0.9125,0.9733333333333334,0.9419354838709677,0.9634047167253998,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.35,0.9125,0.9733333333333334,0.9419354838709677,0.9634047167253998,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.36,0.9125,0.9733333333333334,0.9419354838709677,0.9634047167253998,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.37,0.9125,0.9733333333333334,0.9419354838709677,0.9634047167253998,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.38,0.9125,0.9733333333333334,0.9419354838709677,0.9634047167253998,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.39,0.9125,0.9733333333333334,0.9419354838709677,0.9634047167253998,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.4,0.9125,0.9733333333333334,0.9419354838709677,0.9634047167253998,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.41,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.9653550496034172,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.42,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.9653550496034172,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.43,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.9653550496034172,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.44,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.9653550496034172,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.45,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.9653550496034172,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.46,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.9653550496034172,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.47,0.9177215189873418,0.9666666666666667,0.9415584415584416,0.9632288852087509,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.48,0.9177215189873418,0.9666666666666667,0.9415584415584416,0.9632288852087509,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.49,0.9177215189873418,0.9666666666666667,0.9415584415584416,0.9632288852087509,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.5,0.9225806451612903,0.9533333333333334,0.9377049180327869,0.9609026682214143,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.51,0.9285714285714286,0.9533333333333334,0.9407894736842105,0.9628696532300651,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.52,0.9285714285714286,0.9533333333333334,0.9407894736842105,0.9628696532300651,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.53,0.934640522875817,0.9533333333333334,0.9438943894389439,0.9648461086710174,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.54,0.934640522875817,0.9533333333333334,0.9438943894389439,0.9648461086710174,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.55,0.934640522875817,0.9533333333333334,0.9438943894389439,0.9648461086710174,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.56,0.9403973509933775,0.9466666666666667,0.9435215946843853,0.9646715563079975,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.57,0.9403973509933775,0.9466666666666667,0.9435215946843853,0.9646715563079975,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.58,0.94,0.94,0.94,0.9624999999999999,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.59,0.9463087248322147,0.94,0.9431438127090301,0.9644944708840737,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.6,0.9463087248322147,0.94,0.9431438127090301,0.9644944708840737,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.61,0.9463087248322147,0.94,0.9431438127090301,0.9644944708840737,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.62,0.9459459459459459,0.9333333333333333,0.9395973154362416,0.9623111369194519,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.63,0.9459459459459459,0.9333333333333333,0.9395973154362416,0.9623111369194519,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.64,0.9459459459459459,0.9333333333333333,0.9395973154362416,0.9623111369194519,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.65,0.9459459459459459,0.9333333333333333,0.9395973154362416,0.9623111369194519,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.66,0.9523809523809523,0.9333333333333333,0.9427609427609428,0.9643148022200392,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.67,0.9523809523809523,0.9333333333333333,0.9427609427609428,0.9643148022200392,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.68,0.9523809523809523,0.9333333333333333,0.9427609427609428,0.9643148022200392,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.69,0.9523809523809523,0.9333333333333333,0.9427609427609428,0.9643148022200392,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.7,0.9517241379310345,0.92,0.9355932203389831,0.9599127927421056,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.71,0.9517241379310345,0.92,0.9355932203389831,0.9599127927421056,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.72,0.9517241379310345,0.92,0.9355932203389831,0.9599127927421056,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.73,0.9517241379310345,0.92,0.9355932203389831,0.9599127927421056,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.74,0.9517241379310345,0.92,0.9355932203389831,0.9599127927421056,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.75,0.9517241379310345,0.92,0.9355932203389831,0.9599127927421056,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.76,0.9513888888888888,0.9133333333333333,0.9319727891156463,0.9576945205943074,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.77,0.9647887323943662,0.9133333333333333,0.9383561643835616,0.961727751065953,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.78,0.9647887323943662,0.9133333333333333,0.9383561643835616,0.961727751065953,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.79,0.9642857142857143,0.9,0.9310344827586207,0.957252778569393,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.8,0.9642857142857143,0.9,0.9310344827586207,0.957252778569393,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.81,0.9640287769784173,0.8933333333333333,0.9273356401384083,0.9549972998379903,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.82,0.9629629629629629,0.8666666666666667,0.9122807017543859,0.9458522850335715,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.83,0.9699248120300752,0.86,0.911660777385159,0.9455592301058909,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.84,0.9772727272727273,0.86,0.9148936170212766,0.9475945917618698,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.85,0.9772727272727273,0.86,0.9148936170212766,0.9475945917618698,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.86,0.9772727272727273,0.86,0.9148936170212766,0.9475945917618698,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.87,0.9772727272727273,0.86,0.9148936170212766,0.9475945917618698,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.88,0.9765625,0.8333333333333334,0.8992805755395683,0.9381836592918791,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.89,0.9765625,0.8333333333333334,0.8992805755395683,0.9381836592918791,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.9,0.984,0.82,0.8945454545454545,0.9354359925788498,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.91,0.9918032786885246,0.8066666666666666,0.8897058823529411,0.9326379574631155,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.92,0.9915966386554622,0.7866666666666666,0.8773234200743495,0.9252579732378245,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.93,0.9913793103448276,0.7666666666666667,0.8646616541353384,0.9177441171811214,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.94,0.9913793103448276,0.7666666666666667,0.8646616541353384,0.9177441171811214,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
0.95,0.9912280701754386,0.7533333333333333,0.8560606060606061,0.9126581347455134,0.9865506457013293,0.997,0.0163495049299022,0.011679016487058972
